Tourist_ID,Come_From,Age,Gender,Travel_Purpose,Preferred_Destination,total_cost_USD,Travel_Frequency_per_Year,travel_with,Traveler_Type
T1232,USA,20,Male,Education,Countryside,4618.0,6.0,Without Family,High
T1233,Australia,59,Other,Leisure,Business,735.93,7.0,With Family,Low
T1234,Canada,56,Other,Leisure,Adventure,1126.0,7.0,With Family,Medium
T1235,USA,54,Female,Leisure,Discovery,1441.19625,7.0,Without Family,Medium
T1236,Italy,25,Other,Leisure,Discovery,4292.925,7.0,With Family,High
T1237,Australia,24,Other,Medical,Beach,3068.0,3.0,With Family,High
T1238,Australia,67,Female,Business,Discovery,740.0,7.0,Unknown,Low
T1239,France,38,Female,Education,Mountain,4746.0,9.0,With Family,High
T1240,USA,21,Male,Business,Adventure,245.31,7.0,With Family,Low
T1241,UK,28,Other,Leisure,Mountain,3199.0,7.0,Without Family,High
T1242,Australia,25,Female,Business,City,1956.0,11.0,With Family,Medium
T1243,Kenya,58,Male,Leisure,Culture,1226.55,7.0,Unknown,Medium
T1244,South Africa,74,Other,Leisure,Culture,3863.6325,7.0,With Family,High
T1245,France,67,Female,Leisure,Mountain,4986.0,10.0,With Family,High
T1246,India,31,Female,Business,Countryside,1826.0,8.0,Without Family,Medium
T1247,Netherlands,44,Other,Leisure,Discovery,10119.0375,7.0,With Family,High
T1248,Canada,38,Other,Leisure,Business,11239.9599,7.0,With Family,High
T1249,USA,20,Other,Leisure,Culture,1165.2225,7.0,With Family,Medium
T1250,China,55,Other,Leisure,Adventure,2032.0,3.0,With Family,Medium
T1251,France,18,Other,Leisure,Discovery,1679.3042,7.0,With Family,Medium
T1252,UK,22,Male,Medical,Adventure,3844.0,6.0,Without Family,High
T1253,USA,57,Male,Medical,Adventure,3243.0,4.0,With Family,High
T1254,USA,24,Other,Education,Discovery,5672.79375,7.0,With Family,High
T1255,USA,23,Male,Leisure,Adventure,1042.5675,7.0,Unknown,Medium
T1256,USA,71,Male,Leisure,Discovery,1717.17,7.0,Unknown,Medium
T1257,USA,68,Other,Leisure,Discovery,11038.95,7.0,With Family,High
T1258,Canada,65,Male,Leisure,Adventure,4496.0,6.0,Without Family,High
T1259,USA,53,Other,Leisure,Business,2851.72875,7.0,With Family,Medium
T1260,USA,20,Female,Leisure,Discovery,8217.885,7.0,Unknown,High
T1261,India,27,Other,Medical,Adventure,1838.0,3.0,With Family,Medium
T1262,Canada,19,Other,Leisure,Business,10425.675,7.0,With Family,High
T1263,Ireland,59,Other,Leisure,Discovery,6439.3875,7.0,With Family,High
T1264,China,39,Other,Business,City,3309.0,6.0,With Family,High
T1265,France,20,Other,Leisure,Discovery,5961.52991,7.0,With Family,High
T1266,Uganda,67,Other,Business,Mountain,367.965,7.0,With Family,Low
T1267,Australia,32,Female,Leisure,Discovery,521.7,7.0,Without Family,Low
T1268,France,32,Other,Medical,Adventure,3916.0,7.0,Without Family,High
T1269,France,20,Other,Leisure,Business,8769.8325,7.0,With Family,High
T1270,Denmark,45,Female,Leisure,Culture,222.0,7.0,Without Family,Low
T1271,Canada,36,Male,Education,Mountain,2263.0,5.0,With Family,Medium
T1272,Canada,59,Other,Leisure,Discovery,2943.72,7.0,With Family,Medium
T1273,USA,69,Female,Leisure,Beach,4703.0,6.0,With Family,High
T1274,USA,23,Other,Leisure,Discovery,13645.36875,7.0,With Family,High
T1275,Canada,33,Female,Medical,Mountain,4703.0,9.0,Without Family,High
T1276,USA,23,Female,Leisure,Discovery,4507.57125,7.0,Unknown,High
T1277,UK,30,Female,Medical,Beach,799.0,5.0,With Family,Low
T1278,USA,31,Male,Leisure,Beach,1962.48,7.0,Unknown,Medium
T1279,China,58,Male,Medical,Adventure,4069.0,3.0,Without Family,High
T1280,Australia,53,Female,Leisure,Mountain,3846.0,10.0,With Family,High
T1281,Belgium,28,Female,Leisure,Discovery,4967.5275,7.0,Unknown,High
T1282,USA,42,Male,Leisure,Beach,602.7669999999999,7.0,Without Family,Low
T1283,Australia,48,Male,Leisure,Countryside,1968.0,7.0,Without Family,Medium
T1284,USA,54,Other,Leisure,Discovery,4108.9425,7.0,With Family,High
T1285,France,37,Other,Medical,Countryside,1668.0,6.0,Without Family,Medium
T1286,USA,20,Male,Leisure,Discovery,2085.135,7.0,Without Family,Medium
T1287,Australia,57,Male,Education,City,465.0,7.0,Without Family,Low
T1288,UK,26,Other,Education,City,1766.0,6.0,With Family,Medium
T1289,USA,26,Other,Leisure,Discovery,9444.435,7.0,With Family,High
T1290,France,23,Other,Leisure,Discovery,3311.685,7.0,With Family,High
T1291,Australia,61,Female,Leisure,Beach,3283.0,11.0,Without Family,High
T1292,USA,70,Male,Leisure,Discovery,6286.06875,7.0,Unknown,High
T1293,France,41,Male,Education,City,4536.0,9.0,With Family,High
T1294,Canada,21,Male,Leisure,Beach,919.9125,7.0,Without Family,Low
T1295,Egypt,66,Female,Leisure,Beach,1226.55,7.0,Without Family,Medium
T1296,India,29,Other,Leisure,City,3380.0,7.0,Without Family,High
T1297,Canada,58,Other,Education,Beach,637.0,3.0,With Family,Low
T1298,Netherlands,69,Other,Leisure,Discovery,613.275,7.0,With Family,Low
T1299,Germany,46,Other,Leisure,Discovery,13216.07625,7.0,With Family,High
T1300,UK,37,Male,Business,Discovery,1839.825,7.0,Unknown,Medium
T1301,India,71,Female,Education,Mountain,1272.0,11.0,With Family,Medium
T1302,France,50,Other,Leisure,Discovery,1259.47815,7.0,With Family,Medium
T1303,Canada,56,Female,Business,Countryside,1416.0,5.0,With Family,Medium
T1304,Italy,28,Other,Leisure,Discovery,6439.3875,7.0,With Family,High
T1305,UK,39,Female,Medical,Mountain,4634.0,8.0,Without Family,High
T1306,Italy,38,Other,Leisure,Culture,5519.475,7.0,With Family,High
T1307,China,63,Female,Education,Beach,603.0,11.0,Without Family,Low
T1308,USA,68,Female,Leisure,Business,2514.4275,7.0,With Family,Medium
T1309,Canada,21,Female,Education,Mountain,3288.0,11.0,Without Family,High
T1310,Italy,23,Other,Leisure,Business,4282.22571,7.0,With Family,High
T1311,India,18,Male,Education,Countryside,4456.0,8.0,Without Family,High
T1312,USA,72,Other,Leisure,Discovery,7665.9375,7.0,With Family,High
T1313,Australia,26,Female,Leisure,Countryside,1884.0,11.0,With Family,Medium
T1314,Egypt,70,Other,Leisure,Discovery,1962.48,7.0,Unknown,Medium
T1315,Netherlands,22,Other,Leisure,Discovery,7976.69495,7.0,With Family,High
T1316,Germany,36,Male,Leisure,Adventure,1549.0,6.0,Without Family,Medium
T1317,UK,55,Female,Leisure,Business,149.48,7.0,Unknown,Low
T1318,China,60,Female,Leisure,Mountain,1671.0,4.0,Without Family,Medium
T1319,Canada,22,Other,Leisure,Discovery,3066.375,7.0,With Family,High
T1320,Germany,61,Male,Business,Mountain,2437.0,7.0,Without Family,Medium
T1321,USA,61,Other,Leisure,Discovery,7665.9375,7.0,With Family,High
T1322,UK,51,Male,Medical,Beach,3009.0,7.0,Without Family,High
T1323,India,75,Male,Business,Discovery,245.31,7.0,Without Family,Low
T1324,USA,24,Female,Leisure,Discovery,5145.37725,7.0,Unknown,High
T1325,USA,45,Other,Medical,City,1657.0,10.0,Without Family,Medium
T1326,Netherlands,47,Female,Leisure,Discovery,306.6375,7.0,Without Family,Low
T1327,India,42,Other,Leisure,Adventure,3024.0,4.0,With Family,High
T1328,Canada,22,Male,Leisure,Discovery,3802.305,7.0,Without Family,High
T1329,China,70,Male,Medical,Adventure,722.0,10.0,With Family,Low
T1330,China,46,Male,Education,Mountain,546.0,8.0,With Family,Low
T1331,USA,67,Other,Leisure,Discovery,5212.8375,7.0,With Family,High
T1332,Kenya,72,Male,Business,Mountain,223.0175,7.0,With Family,Low
T1333,China,61,Other,Education,Adventure,1959.0,6.0,With Family,Medium
T1334,Netherlands,64,Male,Business,Discovery,367.965,7.0,Without Family,Low
T1335,India,71,Male,Education,Beach,1528.0,9.0,With Family,Medium
T1336,USA,75,Other,Business,Mountain,2096.0,11.0,With Family,Medium
T1337,USA,43,Other,Leisure,Discovery,12265.5,7.0,With Family,High
T1338,USA,25,Male,Volunteering,Discovery,1226.55,7.0,Unknown,Medium
T1339,Norway,65,Male,Volunteering,Adventure,981.24,7.0,Without Family,Low
T1340,UK,57,Male,Leisure,Adventure,2973.0,3.0,Without Family,Medium
T1341,Italy,19,Male,Leisure,Culture,1167.116419,7.0,With Family,Medium
T1342,Kenya,23,Other,Business,Mountain,186.0175,7.0,With Family,Low
T1343,Germany,26,Male,Education,Adventure,1003.0,8.0,With Family,Medium
T1344,USA,72,Female,Leisure,Discovery,3924.96,7.0,Without Family,High
T1345,Germany,25,Other,Leisure,Countryside,4194.0,11.0,With Family,High
T1346,USA,71,Female,Leisure,Discovery,4936.86375,7.0,With Family,High
T1347,UK,72,Other,Business,Countryside,1405.0,3.0,With Family,Medium
T1348,USA,50,Male,Education,Beach,2807.0,4.0,Without Family,Medium
T1349,Austria,50,Other,Leisure,Discovery,2225.078065,7.0,With Family,Medium
T1350,Kenya,72,Other,Leisure,Beach,433.01544,7.0,With Family,Low
T1351,Australia,35,Other,Business,Countryside,4934.0,5.0,With Family,High
T1352,Australia,74,Female,Leisure,Business,245.31,7.0,With Family,Low
T1353,South Africa,20,Male,Business,Discovery,1471.86,7.0,With Family,Medium
T1354,France,61,Other,Education,Beach,1386.0,9.0,Without Family,Medium
T1355,Australia,56,Other,Business,City,4294.0,3.0,With Family,High
T1356,Sweden,22,Other,Leisure,Beach,981.24,7.0,With Family,Low
T1357,Germany,50,Female,Leisure,Beach,3788.0,5.0,Without Family,High
T1358,UK,18,Male,Business,Culture,300.50475,7.0,Unknown,Low
T1359,Colombia,30,Female,Leisure,Discovery,5764.785,7.0,Without Family,High
T1360,Canada,41,Other,Leisure,Countryside,3139.0,6.0,Without Family,High
T1361,Finland,73,Male,Leisure,Discovery,4618.08655,7.0,With Family,High
T1362,Uganda,24,Other,Education,Culture,613.275,7.0,With Family,Low
T1363,Canada,26,Female,Business,Adventure,1751.0,5.0,With Family,Medium
T1364,South Africa,73,Other,Leisure,Culture,919.9125,7.0,With Family,Low
T1365,South Africa,68,Female,Business,Culture,122.655,7.0,With Family,Low
T1366,France,19,Male,Leisure,Adventure,4420.0,10.0,Without Family,High
T1367,USA,64,Male,Leisure,Business,4538.235,7.0,Without Family,High
T1368,UK,63,Other,Education,Mountain,2276.0,11.0,With Family,Medium
T1369,Canada,45,Male,Business,City,3780.0,9.0,With Family,High
T1370,UK,70,Female,Business,Discovery,613.275,7.0,Without Family,Low
T1371,UK,70,Other,Leisure,Discovery,7788.5925,7.0,With Family,High
T1372,UK,36,Female,Education,City,3961.0,6.0,Without Family,High
T1373,USA,35,Male,Leisure,Discovery,2391.7725,7.0,Unknown,Medium
T1374,France,30,Male,Education,Mountain,710.0,9.0,With Family,Low
T1375,Germany,24,Other,Leisure,Discovery,3066.375,7.0,With Family,High
T1376,UK,64,Other,Leisure,Adventure,2577.0,9.0,With Family,Medium
T1377,USA,20,Other,Leisure,Discovery,12694.7925,7.0,With Family,High
T1378,France,74,Other,Medical,Countryside,861.0,10.0,With Family,Low
T1379,France,26,Other,Leisure,Mountain,4327.0,3.0,Without Family,High
T1380,Kenya,23,Female,Business,Discovery,333.0,7.0,Without Family,Low
T1381,Spain,19,Female,Leisure,Discovery,2698.41,7.0,Unknown,Medium
T1382,USA,18,Other,Leisure,Discovery,12020.19,7.0,With Family,High
T1383,Uae,66,Male,Business,Mountain,1962.48,7.0,Without Family,Medium
T1384,Canada,73,Male,Leisure,Countryside,3809.0,5.0,Without Family,High
T1385,South Africa,39,Male,Leisure,Discovery,196.248,7.0,Unknown,Low
T1386,India,35,Other,Education,City,3602.0,9.0,Without Family,High
T1387,Italy,75,Other,Leisure,Discovery,306.6375,7.0,With Family,Low
T1388,UK,53,Male,Leisure,Discovery,9321.78,7.0,With Family,High
T1389,UK,60,Female,Leisure,City,4166.0,5.0,With Family,High
T1390,Kenya,47,Female,Business,Discovery,919.9125,7.0,Without Family,Low
T1391,China,31,Female,Leisure,Beach,3428.0,6.0,With Family,High
T1392,Italy,26,Other,Leisure,Discovery,5457.73865,7.0,With Family,High
T1393,UK,68,Other,Business,business,1007.58252,7.0,With Family,Medium
T1394,Netherlands,75,Female,Volunteering,Discovery,1007.58252,7.0,Unknown,Medium
T1395,Italy,70,Other,Leisure,Beach,2281.383,7.0,With Family,Medium
T1396,UK,44,Other,Leisure,Beach,7052.662499999999,7.0,With Family,High
T1397,Canada,55,Other,Medical,Mountain,2227.0,3.0,Without Family,Medium
T1398,USA,22,Male,Business,Discovery,613.275,7.0,Without Family,Low
T1399,USA,19,Other,Leisure,Business,3740.9775,7.0,With Family,High
T1400,Spain,31,Other,Leisure,Discovery,5541.70386,7.0,With Family,High
T1401,France,63,Female,Leisure,Beach,1202.0,3.0,Without Family,Medium
T1402,Germany,56,Female,Business,City,445.0,9.0,Without Family,Low
T1403,Canada,66,Female,Leisure,Business,3373.0125,7.0,Unknown,High
T1404,Australia,26,Female,Education,Countryside,4281.0,4.0,With Family,High
T1405,Spain,68,Male,Leisure,Discovery,196.248,7.0,Unknown,Low
T1406,UK,36,Other,Medical,Mountain,470.0,4.0,Without Family,Low
T1407,USA,52,Female,Leisure,Business,2055.6978,7.0,With Family,Medium
T1408,Germany,49,Other,Leisure,City,2390.0,5.0,Without Family,Medium
T1409,USA,48,Other,Leisure,Business,281.2,7.0,With Family,Low
T1410,Indonesia,18,Male,Other,Beach,3066.375,7.0,Unknown,High
T1411,Germany,50,Female,Medical,Mountain,2245.0,3.0,With Family,Medium
T1412,France,62,Female,Business,Countryside,2243.0,10.0,With Family,Medium
T1413,Germany,61,Other,Leisure,Discovery,10327.72083,7.0,With Family,High
T1414,USA,22,Other,Business,Discovery,613.275,7.0,With Family,Low
T1415,USA,71,Female,Medical,Beach,2287.0,4.0,With Family,Medium
T1416,Turkey,43,Male,Leisure,Culture,613.275,7.0,Unknown,Low
T1417,Germany,27,Female,Medical,Adventure,687.0,5.0,With Family,Low
T1418,UK,53,Female,Leisure,Discovery,797.2574999999999,7.0,Unknown,Low
T1419,Australia,44,Other,Medical,Countryside,1457.0,11.0,Without Family,Medium
T1420,India,31,Male,Leisure,Beach,722.0,3.0,Without Family,Low
T1421,Trinidad And Tobago,24,Other,Business,Discovery,613.275,7.0,With Family,Low
T1422,Australia,64,Male,Business,Adventure,3570.0,3.0,Without Family,High
T1423,UK,18,Female,Leisure,Discovery,613.275,7.0,Without Family,Low
T1424,France,73,Male,Medical,Beach,770.0,11.0,Without Family,Low
T1425,Australia,44,Female,Medical,Mountain,3386.0,8.0,Without Family,High
T1426,USA,23,Other,Education,Adventure,811.0,8.0,Without Family,Low
T1427,France,52,Other,Leisure,Discovery,4047.615,7.0,With Family,High
T1428,Kenya,64,Other,Leisure,Beach,10548.33,7.0,With Family,High
T1429,USA,46,Female,Business,Mountain,4155.0,11.0,Without Family,High
T1430,Oman,35,Male,Leisure,Adventure,1839.825,7.0,Without Family,Medium
T1431,USA,32,Female,Leisure,Culture,459.95625,7.0,Unknown,Low
T1432,Germany,71,Other,Education,City,4929.0,11.0,Without Family,High
T1433,USA,69,Other,Leisure,Business,2686.1445,7.0,With Family,Medium
T1434,India,21,Other,Leisure,Beach,1909.0,11.0,Without Family,Medium
T1435,Zambia,63,Male,Business,Discovery,288.23925,7.0,Without Family,Low
T1436,India,63,Female,Education,Mountain,2634.0,11.0,Without Family,Medium
T1437,France,30,Other,Leisure,Discovery,4538.235,7.0,With Family,High
T1438,Canada,22,Male,Medical,Adventure,420.0,11.0,With Family,Low
T1439,Kenya,58,Other,Leisure,Beach,3192.096375,7.0,With Family,High
T1440,USA,30,Other,Leisure,Discovery,5764.785,7.0,With Family,High
T1441,USA,72,Male,Leisure,Business,245.31,7.0,With Family,Low
T1442,UK,64,Other,Medical,Mountain,2046.0,4.0,Without Family,Medium
T1443,USA,63,Male,Education,Beach,2000.0,5.0,Without Family,Medium
T1444,Sweden,62,Other,Leisure,Discovery,765.9,7.0,Unknown,Low
T1445,UK,19,Female,Volunteering,Discovery,3311.685,7.0,Unknown,High
T1446,China,73,Male,Medical,Adventure,4773.0,3.0,With Family,High
T1447,USA,74,Female,Leisure,Discovery,3078.6405,7.0,Unknown,High
T1448,Australia,24,Other,Leisure,Discovery,839.6521,7.0,With Family,Low
T1449,France,24,Other,Leisure,Beach,2637.0825,7.0,With Family,Medium
T1450,Germany,32,Male,Education,Countryside,1123.0,4.0,Without Family,Medium
T1451,Germany,18,Female,Business,Beach,613.275,7.0,Without Family,Low
T1452,Rwanda,26,Female,Business,Beach,515.151,7.0,Without Family,Low
T1453,UK,38,Male,Medical,City,3369.0,5.0,With Family,High
T1454,Australia,43,Female,Business,Mountain,1470.0,5.0,With Family,Medium
T1455,Burundi,31,Other,Leisure,Beach,1017.5,7.0,With Family,Medium
T1456,Canada,42,Female,Business,Countryside,3639.0,6.0,Without Family,High
T1457,Italy,41,Other,Leisure,Discovery,858.585,7.0,With Family,Low
T1458,Germany,40,Other,Business,Beach,4206.0,11.0,Without Family,High
T1459,UK,46,Male,Medical,City,2689.0,3.0,With Family,Medium
T1460,UK,38,Other,Leisure,Discovery,201.767475,7.0,With Family,Low
T1461,Australia,43,Other,Business,Adventure,2454.0,10.0,With Family,Medium
T1462,USA,20,Female,Leisure,Business,1962.48,7.0,With Family,Medium
T1463,France,19,Other,Education,Beach,1151.0,6.0,With Family,Medium
T1464,Zambia,25,Female,Other,Adventure,148.0,7.0,Without Family,Low
T1465,India,33,Other,Leisure,Countryside,3407.0,10.0,With Family,High
T1466,Australia,18,Other,Education,Countryside,785.0,8.0,With Family,Low
T1467,Uganda,19,Other,Leisure,Discovery,111.0,7.0,With Family,Low
T1468,Burundi,68,Female,Leisure,Adventure,394.05,7.0,Unknown,Low
T1469,India,42,Male,Leisure,Adventure,820.0,9.0,Without Family,Low
T1470,China,68,Female,Leisure,Beach,3367.0,11.0,Without Family,High
T1471,UK,19,Other,Leisure,Discovery,122.655,7.0,With Family,Low
T1472,Italy,20,Other,Leisure,Discovery,5969.926431,7.0,With Family,High
T1473,Italy,43,Other,Leisure,Beach,2269.1175,7.0,With Family,Medium
T1474,Australia,74,Female,Business,Countryside,664.0,4.0,With Family,Low
T1475,USA,52,Other,Business,Beach,1727.0,6.0,With Family,Medium
T1476,Uganda,19,Male,Business,Discovery,255.3,7.0,Without Family,Low
T1477,Germany,45,Other,Business,Mountain,3355.0,6.0,With Family,High
T1478,Zambia,74,Male,Business,Beach,481.0,7.0,Without Family,Low
T1479,USA,60,Other,Business,City,2829.0,9.0,Without Family,Medium
T1480,Australia,53,Male,Education,Beach,4477.0,11.0,With Family,High
T1481,India,75,Other,Leisure,Beach,3590.0,6.0,Without Family,High
T1482,Italy,60,Other,Leisure,Beach,4660.89,7.0,With Family,High
T1483,Germany,43,Female,Leisure,Discovery,245.31,7.0,Unknown,Low
T1484,Germany,24,Female,Business,City,391.0,10.0,Without Family,Low
T1485,South Africa,63,Male,Leisure,Culture,913.77975,7.0,Unknown,Low
T1486,Australia,71,Female,Education,Mountain,3587.0,5.0,With Family,High
T1487,USA,30,Female,Leisure,Culture,1300.143,7.0,Unknown,Medium
T1488,New Zealand,72,Male,Leisure,Discovery,6439.3875,7.0,Unknown,High
T1489,China,59,Male,Medical,Countryside,915.0,11.0,Without Family,Low
T1490,UK,27,Male,Medical,Adventure,2498.0,11.0,With Family,Medium
T1491,UK,26,Other,Leisure,Discovery,2453.1,7.0,With Family,Medium
T1492,Canada,74,Male,Education,Beach,481.0,9.0,Without Family,Low
T1493,UK,67,Male,Education,Adventure,1533.1875,7.0,Unknown,Medium
T1494,France,51,Male,Business,Beach,4753.0,8.0,With Family,High
T1495,Ireland,21,Female,Leisure,Discovery,2115.79875,7.0,Unknown,Medium
T1496,Italy,32,Other,Leisure,Discovery,3069.441375,7.0,With Family,High
T1497,Canada,54,Other,Leisure,Beach,293.0,5.0,Without Family,Low
T1498,Australia,35,Female,Leisure,Discovery,2913.05625,7.0,Without Family,Medium
T1499,USA,25,Female,Education,Adventure,2706.0,11.0,With Family,Medium
T1500,South Africa,57,Male,Business,Discovery,1533.1875,7.0,Unknown,Medium
T1501,Canada,70,Female,Business,City,1385.0,9.0,With Family,Medium
T1502,Kenya,27,Other,Leisure,Discovery,884.34255,7.0,With Family,Low
T1503,France,37,Male,Education,City,2157.0,5.0,Without Family,Medium
T1504,Spain,22,Other,Leisure,Beach,839.6521,7.0,With Family,Low
T1505,France,21,Female,Leisure,Countryside,2170.0,9.0,Without Family,Medium
T1506,Canada,27,Female,Leisure,Discovery,1974.7455,7.0,Without Family,Medium
T1507,India,73,Male,Education,City,4741.0,11.0,Without Family,High
T1508,Germany,35,Female,Leisure,Beach,1533.1875,7.0,Unknown,Medium
T1509,China,41,Other,Medical,Mountain,749.0,9.0,Without Family,Low
T1510,South Africa,26,Other,Business,Discovery,1839.825,7.0,With Family,Medium
T1511,UK,42,Other,Leisure,Discovery,1259.47815,7.0,With Family,Medium
T1512,France,36,Female,Business,Mountain,2814.0,3.0,Without Family,Medium
T1513,UK,73,Female,Leisure,Discovery,1088.563125,7.0,Without Family,Medium
T1514,Canada,25,Other,Leisure,Countryside,1763.0,5.0,Without Family,Medium
T1515,USA,63,Other,Leisure,Discovery,582.61125,7.0,With Family,Low
T1516,France,65,Other,Leisure,Discovery,9444.435,7.0,With Family,High
T1517,UK,74,Female,Medical,Mountain,2013.0,10.0,With Family,Medium
T1518,UK,35,Other,Leisure,Discovery,8585.85,7.0,With Family,High
T1519,Rwanda,18,Female,Business,Mountain,183.9825,7.0,Unknown,Low
T1520,USA,68,Male,Leisure,Beach,2491.0,6.0,With Family,Medium
T1521,Belgium,49,Other,Leisure,Discovery,6746.025,7.0,With Family,High
T1522,USA,23,Female,Business,Mountain,196.248,7.0,Unknown,Low
T1523,USA,40,Female,Leisure,Countryside,1784.0,8.0,Without Family,Medium
T1524,Japan,24,Male,Leisure,Discovery,889.24875,7.0,With Family,Low
T1525,USA,21,Female,Leisure,City,4357.0,8.0,With Family,High
T1526,Germany,55,Male,Business,Countryside,2818.0,6.0,Without Family,Medium
T1527,Kenya,23,Male,Education,Beach,370.0,7.0,Unknown,Low
T1528,USA,31,Female,Leisure,Discovery,6347.39625,7.0,Unknown,High
T1529,China,23,Other,Leisure,Beach,3071.0,11.0,Without Family,High
T1530,USA,25,Other,Leisure,Discovery,6684.6975,7.0,With Family,High
T1531,USA,30,Other,Leisure,Discovery,1226.55,7.0,With Family,Medium
T1532,Germany,68,Female,Medical,Beach,2012.0,5.0,With Family,Medium
T1533,UK,26,Male,Volunteering,Discovery,1226.55,7.0,Unknown,Medium
T1534,India,31,Male,Business,Countryside,1961.0,9.0,With Family,Medium
T1535,France,43,Other,Leisure,Beach,6132.75,7.0,With Family,High
T1536,Canada,74,Female,Education,Mountain,1347.0,10.0,Without Family,Medium
T1537,India,21,Female,Medical,Beach,1983.0,9.0,With Family,Medium
T1538,USA,22,Male,Leisure,Business,1594.515,7.0,Unknown,Medium
T1539,France,27,Other,Leisure,Discovery,3740.9775,7.0,With Family,High
T1540,Germany,49,Other,Medical,Countryside,2475.0,11.0,With Family,Medium
T1541,Italy,67,Other,Leisure,Discovery,9383.1075,7.0,With Family,High
T1542,Australia,63,Other,Leisure,Mountain,3195.0,3.0,Without Family,High
T1543,USA,33,Female,Leisure,Discovery,118.97535,7.0,With Family,Low
T1544,Germany,55,Other,Medical,City,1032.0,4.0,With Family,Medium
T1545,Korea,73,Male,Business,Discovery,1839.825,7.0,Unknown,Medium
T1546,China,75,Male,Leisure,Mountain,2178.0,9.0,Without Family,Medium
T1547,Zambia,36,Male,Business,Discovery,444.624375,7.0,With Family,Low
T1548,Germany,42,Other,Education,Countryside,3929.0,5.0,Without Family,High
T1549,France,59,Other,Leisure,Culture,5125.2364184,7.0,With Family,High
T1550,China,26,Female,Education,Countryside,3394.0,6.0,With Family,High
T1551,China,45,Male,Medical,Beach,3873.0,8.0,Without Family,High
T1552,Malawi,59,Female,Business,Mountain,367.965,7.0,With Family,Low
T1553,France,31,Female,Medical,Mountain,3955.0,11.0,With Family,High
T1554,Australia,25,Female,Leisure,Mountain,4404.0,10.0,With Family,High
T1555,UK,62,Other,Leisure,Beach,2573.3019,7.0,With Family,Medium
T1556,Zambia,71,Male,Business,Discovery,113.22,7.0,Without Family,Low
T1557,UK,37,Other,Leisure,Beach,5877.5647,7.0,With Family,High
T1558,Australia,26,Other,Medical,Mountain,1563.0,3.0,With Family,Medium
T1559,UK,41,Other,Education,City,3306.0,3.0,Without Family,High
T1560,Germany,48,Other,Leisure,Beach,3679.65,7.0,With Family,High
T1561,France,50,Female,Leisure,Discovery,551.9475,7.0,Without Family,Low
T1562,UK,29,Female,Volunteering,Culture,167.93042,7.0,Unknown,Low
T1563,Canada,19,Female,Education,Mountain,1412.0,7.0,Without Family,Medium
T1564,UK,71,Male,Leisure,Beach,2518.9563,7.0,Unknown,Medium
T1565,France,44,Other,Medical,Countryside,2418.0,11.0,Without Family,Medium
T1566,USA,37,Female,Leisure,Culture,306.6375,7.0,Unknown,Low
T1567,Kenya,26,Other,Leisure,Business,306.6375,7.0,With Family,Low
T1568,USA,45,Female,Education,City,2638.0,10.0,Without Family,Medium
T1569,Australia,39,Female,Medical,City,771.0,7.0,With Family,Low
T1570,Netherlands,44,Other,Leisure,Culture,2686.88672,7.0,With Family,Medium
T1571,Switzerland,55,Other,Leisure,Discovery,6746.025,7.0,With Family,High
T1572,Australia,72,Male,Education,Beach,1933.0,4.0,Without Family,Medium
T1573,China,28,Female,Education,City,3797.0,8.0,Without Family,High
T1574,Sweden,70,Other,Leisure,Discovery,1042.5675,7.0,With Family,Medium
T1575,India,26,Male,Business,Countryside,2439.0,8.0,Without Family,Medium
T1576,Spain,30,Other,Leisure,Discovery,6465.32117,7.0,With Family,High
T1577,India,35,Other,Education,Adventure,4264.0,4.0,Without Family,High
T1578,Malawi,68,Male,Business,Mountain,1839.825,7.0,Without Family,Medium
T1579,France,71,Male,Leisure,Adventure,183.9825,7.0,Without Family,Low
T1580,USA,27,Other,Leisure,City,3696.0,4.0,Without Family,High
T1581,Norway,33,Female,Volunteering,Business,981.24,7.0,Without Family,Low
T1582,France,72,Other,Leisure,City,2161.0,6.0,With Family,Medium
T1583,USA,22,Male,Leisure,Discovery,5212.8375,7.0,Unknown,High
T1584,UK,53,Male,Business,Mountain,3793.0,3.0,Without Family,High
T1585,Australia,36,Other,Leisure,Discovery,6286.06875,7.0,With Family,High
T1586,China,49,Male,Medical,Beach,3880.0,8.0,With Family,High
T1587,USA,49,Other,Medical,Countryside,612.0,7.0,Without Family,Low
T1588,France,65,Other,Leisure,Discovery,7420.6275,7.0,With Family,High
T1589,Switzerland,67,Other,Leisure,Discovery,8720.7705,7.0,With Family,High
T1590,Canada,47,Female,Education,Adventure,2079.0,8.0,Without Family,Medium
T1591,USA,41,Male,Leisure,Discovery,2330.445,7.0,Without Family,Medium
T1592,USA,18,Other,Education,Mountain,2867.0,7.0,With Family,Medium
T1593,Ghana,22,Male,Business,Discovery,3700.0,7.0,With Family,High
T1594,Italy,70,Other,Leisure,Beach,2938.78235,7.0,With Family,Medium
T1595,Canada,28,Other,Leisure,Beach,1501.0,8.0,Without Family,Medium
T1596,Germany,67,Female,Leisure,Discovery,2300.646754,7.0,With Family,Medium
T1597,India,64,Other,Education,Beach,2634.0,9.0,Without Family,Medium
T1598,USA,74,Male,Leisure,Discovery,735.93,7.0,Unknown,Low
T1599,Kenya,53,Male,Business,Discovery,245.31,7.0,Unknown,Low
T1600,UK,31,Other,Leisure,Beach,2105.337,7.0,With Family,Medium
